unique_id,type_id,region,city,type,biome,ecosystem,service,subservice,method,value_type,query_values_rounded,query_values,query_unit,currency,notes,status,scale,location_name,income_gorup,region_type,pop_density,continent,lat,lon,year,service_area,county,authors,research_year,research_title,research_ref
1,A100,Puerto Rico,Aguadilla,Provisioning Services,Coastal,Seagrass/algae beds,Food,Fish,Direct market pricing,Annual,$63.00,63,USD/ha/yr,USD,Net benfit,Lower Middle Income,High density,Partially protected,"Bohol Marine Triangle, Philippines",Landscape / district,South-Eastern Asia,Asia,"  9°34'23.31""N","123°45'46.61""E",2004,2556,,"Samonte-Tan, G.P.B.,  A. T. White, M. A. Tercero, J. Diviva, E. Tabara and C. Caballes",2007,"Economic Valuation of Coastal and Marine Resources: Bohol Marine Triangle, Philippines. Costal Management 35(2): 319-338.","Samonte-Tan, G.P.B.,  A. T. White, M. A. Tercero, J. Diviva, E. Tabara and C. Caballes (2007) Economic Valuation of Coastal and Marine Resources: Bohol Marine Triangle, Philippines. Costal Management 35(2): 319-338."
2,A100,Puerto Rico,Aguadilla,Provisioning Services,Coastal,Shores,Food,Fish,Direct market pricing,Annual,$20.14,20.1416577349053,USD/ha/yr,USD,Net benefit,Lower Middle Income,High density,Partially protected,"Bohol Marine Triangle, Philippines",Landscape / district,South-Eastern Asia,Asia,"  9°34'23.31""N","123°45'46.61""E",2004,5598,,"Samonte-Tan, G.P.B.,  A. T. White, M. A. Tercero, J. Diviva, E. Tabara and C. Caballes",2007,"Economic Valuation of Coastal and Marine Resources: Bohol Marine Triangle, Philippines. Costal Management 35(2): 319-338.","Samonte-Tan, G.P.B.,  A. T. White, M. A. Tercero, J. Diviva, E. Tabara and C. Caballes (2007) Economic Valuation of Coastal and Marine Resources: Bohol Marine Triangle, Philippines. Costal Management 35(2): 319-338."
3,A100,Puerto Rico,Aguadilla,Provisioning Services,Coastal,Continental Shelf Sea,Food,Fish,Direct market pricing,Annual,$5.91,5.90575504658385,USD/ha/yr,USD,Net value,Lower Middle Income,High density,Partially protected,"Bohol Marine Triangle, Philippines",Landscape / district,South-Eastern Asia,Asia,"  9°34'23.31""N","123°45'46.61""E",2004,103040,,"Samonte-Tan, G.P.B.,  A. T. White, M. A. Tercero, J. Diviva, E. Tabara and C. Caballes",2007,"Economic Valuation of Coastal and Marine Resources: Bohol Marine Triangle, Philippines. Costal Management 35(2): 319-338.","Samonte-Tan, G.P.B.,  A. T. White, M. A. Tercero, J. Diviva, E. Tabara and C. Caballes (2007) Economic Valuation of Coastal and Marine Resources: Bohol Marine Triangle, Philippines. Costal Management 35(2): 319-338."
4,A100,Puerto Rico,Aguadilla,Provisioning Services,Coral Reefs,Coral reefs,Food,Fish,Direct market pricing,Annual,$119.00,119,USD/ha/yr,USD,gross revenues,No data available,High density,Partially protected,Caribbean,Region,Caribbean,Latin America and the Caribbean, 18°00'N, 72°00'W,2004,2600000,,"Burke, L. and J. Maidens",2004,"Reefs at risk in the Caribbean. World Resources Institute, Washington, D.C..","Burke, L. and J. Maidens (2004) Reefs at risk in the Caribbean. World Resources Institute, Washington, D.C.."
5,A100,Puerto Rico,Aguadilla,Provisioning Services,Coral Reefs,Coral reefs,Food,Food [unspecified],Benefit Transfer,Annual (Range),$220.05,220.048225806452,USD/ha/yr,USD,Value has been calculated in Costanza1997 - primary notes,No data available,Low density,Partially protected,Global,Global,World,World,,,1994,62000000,,"Costanza, R., R. d'Arge,  R. de Groot,  S. Farber, M. Grasso, B. Hannon, K. Limburg, S. Naeem, R.V. O'Neill, J. Paruel, R.G. Raskin, P. Sutton and M. van den Belt",1997,The value of the world's ecosystem service and natural capital. Nature 387: 253-260.,"Costanza, R., R. d'Arge,  R. de Groot,  S. Farber, M. Grasso, B. Hannon, K. Limburg, S. Naeem, R.V. O'Neill, J. Paruel, R.G. Raskin, P. Sutton and M. van den Belt (1997) The value of the world's ecosystem service and natural capital. Nature 387: 253-260."
6,A100,Puerto Rico,Aguadilla,Provisioning Services,Marine,Open ocean,Food,Food [unspecified],Direct market pricing,Annual,$15.00,15,USD/ha/yr,USD,Value has been calculated in Costanza1997 - primary notes,No data available,Low density,Partially protected,Global,Global,World,World,,,1994,33700000000,,"Costanza, R., R. d'Arge,  R. de Groot,  S. Farber, M. Grasso, B. Hannon, K. Limburg, S. Naeem, R.V. O'Neill, J. Paruel, R.G. Raskin, P. Sutton and M. van den Belt",1997,The value of the world's ecosystem service and natural capital. Nature 387: 253-260.,"Costanza, R., R. d'Arge,  R. de Groot,  S. Farber, M. Grasso, B. Hannon, K. Limburg, S. Naeem, R.V. O'Neill, J. Paruel, R.G. Raskin, P. Sutton and M. van den Belt (1997) The value of the world's ecosystem service and natural capital. Nature 387: 253-260."
7,C101,Puerto Rico,Aguadilla,Habitat Services,Coastal,Seagrass/algae beds,Nursery,Nursery service,Factor Income / Production Function,Annual,$133.23,133.23,US$/ha/yr,USD,,High Income: (OECD),Low density,Partially protected,"Seagrass beds, Spencer Gulf, Australia",Local,Australia and New Zealand,Oceania," 34°19'19.79""S","136°48'58.74""E",2001,850000,Australia,"McArthur, L.C. and J.W. Boland",2006,The economic contribution of seagrass to secondary production in South Australia. Ecological Modelling 196(1-2): 163-172.,"McArthur, L.C. and J.W. Boland (2006) The economic contribution of seagrass to secondary production in South Australia. Ecological Modelling 196(1-2): 163-172."
8,B121,Puerto Rico,Aguadilla,Regulating Services,Coastal,Coastal [unspecified],BioControl,Biological Control [unspecified],Direct market pricing,Annual,$39.00,39,USD/ha/yr,USD,"Value has been validated in Costanza. Only Constanza value known, information on original value unknown/not assessed/checked.",No data available,Low density,Partially protected,Global,Global,World,World,,,1994,,,"Houde, E.D. and E.S. Rutherford",1993,Recent trends in estuarine fisheries: predictions of fish production and yield. Estuaries 16: 161-176.,"Houde, E.D. and E.S. Rutherford (1993) Recent trends in estuarine fisheries: predictions of fish production and yield. Estuaries 16: 161-176."
9,B102,Puerto Rico,Aguadilla,Regulating Services,Coastal,Seagrass/algae beds,Climate,C-sequestration,Replacement Cost,Annual,$452.00,452,US$/ha/yr,USD,,High Income: (OECD),Low density,Partially protected,"Echo Bay, San Juan Islands, USA",Local,Northern America,Americas," 48°33'4.92""N","123° 4'41.18""W",2005,12,United States of America,"Hughes, Z.",2006,"Ecological and economic assessment of potential eelgrass expansion at Sucia Island, WA.","Hughes, Z. (2006) Ecological and economic assessment of potential eelgrass expansion at Sucia Island, WA."
10,B102,Puerto Rico,Aguadilla,Regulating Services,Coral Reefs,Coral reefs,Climate,C-sequestration,Direct market pricing,Annual,$90.00,90,USD/ha/yr,USD,,High Income (nonOECD),Low density,Partially protected,French Polynesia,Country,Polynesia,Oceania," 17°40'47.07""S","149°24'24.63""W",2005,5000,,"Charles, M.",2005,"Functions and socio-economic importance of coral reefs and lagoons and implications for sustainable management. MSC Thesis, Wageningen University, the Netherlands.","Charles, M. (2005) Functions and socio-economic importance of coral reefs and lagoons and implications for sustainable management. MSC Thesis, Wageningen University, the Netherlands."
